feature,KS_stat,KS_complement,KS_pvalue,JS_divergence,Wasserstein_scaled,Wasserstein_raw
smoothness_mean,0.507908611599297,0.492091388400703,7.569832609177897e-86,0.5268299378534064,0.07771664799225875,0.008608673098102499
smoothness_worst,0.5149384885764499,0.48506151142355014,2.3472475591524547e-88,0.5983604466710618,0.09318926634953359,0.014111650603309874
texture_worst,0.5289982425307557,0.47100175746924433,1.6796044947622115e-93,0.6199458802226084,0.109567313696805,4.110965609904124
symmetry_mean,0.5360281195079086,0.46397188049209137,3.86613866897969e-96,0.5097725242233564,0.08002426669260024,0.015844804805134848
texture_mean,0.5377855887521968,0.46221441124780316,8.334834078134855e-97,0.6570789644949098,0.09739633756127555,2.880009701686919
symmetry_worst,0.5659050966608085,0.43409490333919154,7.488728432624039e-108,0.5898355391801076,0.06599197441494292,0.03347772862070055
concave points_se,0.5659050966608085,0.43409490333919154,7.488728432624039e-108,0.5692183929546649,0.059260018612520275,0.003128336382554945
compactness_mean,0.5729349736379613,0.4270650263620387,9.935895206211593e-111,0.6157948081590261,0.08823066075089717,0.02876496001800749
fractal_dimension_mean,0.5764499121265377,0.42355008787346227,3.4747443318980394e-112,0.6263628161000644,0.09608026379100923,0.004561890924797117
concave points_worst,0.5764499121265377,0.42355008787346227,3.4747443318980394e-112,0.6401670506182544,0.12985861880056368,0.03778885807096403
concavity_worst,0.5834797891036907,0.4165202108963093,3.9150282172264427e-115,0.5760485534906622,0.09132290258242237,0.11433627403319278
texture_se,0.5852372583479789,0.4147627416520211,7.050725505730313e-116,0.6296334989407064,0.08111432753583422,0.3670261092341428
concave points_mean,0.6028119507908611,0.39718804920913886,1.72891830434737e-123,0.6252577436049697,0.11887986890889918,0.02391862962447052
perimeter_mean,0.6028119507908611,0.39718804920913886,1.72891830434737e-123,0.5921222118022297,0.11751382007017122,17.005424902354477
radius_mean,0.6028119507908611,0.39718804920913886,1.72891830434737e-123,0.5550257684288555,0.11357498698081259,2.399725899917589
concavity_mean,0.6098418277680141,0.3901581722319859,1.2839822186413851e-126,0.6255564788133605,0.11112425036493181,0.04742783005575292
compactness_worst,0.6115992970123023,0.3884007029876977,2.082455816011365e-127,0.6311173337177318,0.0797603009434105,0.08220973978538262
smoothness_se,0.6115992970123023,0.3884007029876977,2.082455816011365e-127,0.6582462364762387,0.06586351060614398,0.0019375068915009378
fractal_dimension_worst,0.6133567662565905,0.3866432337434095,3.353535271236859e-128,0.5811178901419207,0.06865408336207939,0.010467001549382618
perimeter_worst,0.6186291739894552,0.38137082601054484,1.3416545598538256e-130,0.633390282326572,0.11060786680260558,22.208953575295176
compactness_se,0.6203866432337434,0.3796133567662566,2.099423524451207e-131,0.6079176110934404,0.07175420563148453,0.009553928971420902
radius_worst,0.6221441124780316,0.3778558875219684,3.261455494292186e-132,0.5827061177791787,0.11655449331486863,3.2763468070809574
concavity_se,0.6256590509666081,0.3743409490333919,7.700763382845758e-134,0.5712599636541719,0.032870216246423355,0.013016605633583648
symmetry_se,0.6291739894551845,0.37082601054481545,1.7655775101840973e-135,0.56054564277669,0.07148857163839999,0.0050805498091978105
fractal_dimension_se,0.6344463971880492,0.3655536028119508,5.796697762013638e-138,0.6099295561659398,0.0459498714800832,0.0013300282199653042
area_mean,0.6414762741652021,0.35852372583479786,2.5442217260069906e-141,0.5694287779637907,0.10334440678390458,243.63443899305506
perimeter_se,0.6572934973637962,0.34270650263620384,4.4894904964753725e-149,0.4670563029627036,0.05171027407558641,1.0974471467061702
radius_se,0.6572934973637962,0.34270650263620384,4.4894904964753725e-149,0.5634912074533733,0.05699149267151708,0.15738200701239446
area_worst,0.6766256590509666,0.3233743409490334,6.070585283748575e-159,0.6407886178125576,0.09697672933507376,394.5789163185481
area_se,0.7135325131810193,0.2864674868189807,4.615559793618663e-179,0.6334680182491804,0.047017452369273245,25.173049963604157
AVERAGE,0.6001171646162858,0.39988283538371416,,0.5955824724710578,0.08501296667887774,23.911508401049893
